video_id,date,count
3,27/01/2018,6
3,01/02/2018,6
3,31/01/2018,6
3,25/01/2018,7
3,03/02/2018,7
76,10/02/2018,8
3,02/02/2018,8
27,28/01/2018,8
76,09/02/2018,8
3,18/01/2018,8
3,30/01/2018,8
27,30/01/2018,8
6,26/01/2018,8
76,07/02/2018,8
47,09/02/2018,9
67,02/02/2018,9
76,06/02/2018,9
6,27/01/2018,9
76,29/01/2018,9
76,08/02/2018,9
6,21/01/2018,9
47,10/02/2018,10
27,20/01/2018,10
67,04/02/2018,10
6,22/01/2018,10
67,30/01/2018,10
27,24/01/2018,10
76,01/02/2018,10
67,03/02/2018,10
64,24/01/2018,10
27,27/01/2018,11
27,29/01/2018,11
76,03/02/2018,11
25,04/02/2018,11
27,18/01/2018,11
67,24/01/2018,11
6,18/01/2018,11
76,30/01/2018,11
3,23/01/2018,11
76,05/02/2018,11
3,20/01/2018,11
64,21/01/2018,11
6,12/01/2018,11
3,29/01/2018,11
6,11/01/2018,11
32,30/12/2017,11
6,24/01/2018,12
47,12/02/2018,12
47,02/02/2018,12
3,22/01/2018,12
47,03/02/2018,12
76,02/02/2018,12
67,25/01/2018,12
76,04/02/2018,12
3,26/01/2018,12
3,15/01/2018,12
25,31/01/2018,12
27,21/01/2018,12
25,28/01/2018,12
3,19/01/2018,12
79,17/01/2018,12
47,08/02/2018,12
27,15/01/2018,12
32,20/12/2017,12
3,28/01/2018,12
67,01/02/2018,12
76,26/01/2018,12
27,17/01/2018,13
30,04/02/2018,13
76,17/01/2018,13
6,05/01/2018,13
67,20/01/2018,13
3,09/01/2018,13
79,20/01/2018,13
67,23/01/2018,13
32,31/12/2017,13
32,05/01/2018,13
76,13/01/2018,13
67,28/01/2018,13
3,24/01/2018,13
32,02/01/2018,13
67,14/01/2018,13
47,04/02/2018,13
67,16/01/2018,13
6,20/01/2018,13
27,31/01/2018,13
25,01/02/2018,13
25,26/01/2018,13
3,17/01/2018,13
30,09/02/2018,13
32,03/01/2018,14
76,31/01/2018,14
76,18/01/2018,14
67,19/01/2018,14
6,23/01/2018,14
25,05/02/2018,14
67,18/01/2018,14
64,20/01/2018,14
47,11/02/2018,14
32,01/01/2018,14
27,22/01/2018,14
6,31/12/2017,14
79,10/01/2018,14
79,14/01/2018,14
32,24/12/2017,14
27,19/01/2018,14
64,11/01/2018,14
64,10/01/2018,14
76,28/01/2018,14
47,18/01/2018,14
79,25/01/2018,14
6,10/01/2018,14
76,12/01/2018,14
47,23/01/2018,14
25,27/01/2018,14
3,16/01/2018,14
30,31/01/2018,15
32,27/12/2017,15
6,15/01/2018,15
6,08/01/2018,15
3,21/01/2018,15
76,25/01/2018,15
6,17/01/2018,15
32,15/12/2017,15
64,17/01/2018,15
67,27/01/2018,15
25,18/01/2018,15
25,25/01/2018,15
67,26/01/2018,15
76,04/01/2018,15
79,24/01/2018,15
6,25/01/2018,15
64,09/01/2018,15
25,22/01/2018,15
3,03/01/2018,15
76,27/01/2018,15
27,14/01/2018,15
3,24/12/2017,16
65,06/01/2018,16
64,08/01/2018,16
67,15/01/2018,16
79,11/01/2018,16
47,12/01/2018,16
47,07/02/2018,16
3,04/01/2018,16
6,16/01/2018,16
67,01/01/2018,16
32,04/01/2018,16
32,10/12/2017,16
64,07/01/2018,16
76,14/01/2018,16
3,14/01/2018,16
30,08/02/2018,16
32,28/12/2017,16
76,24/01/2018,16
67,31/01/2018,16
64,23/01/2018,16
27,06/01/2018,16
76,09/01/2018,16
27,02/01/2018,16
27,26/01/2018,16
79,23/01/2018,16
76,19/01/2018,16
47,14/01/2018,16
67,28/12/2017,17
27,09/01/2018,17
6,26/12/2017,17
47,15/01/2018,17
67,02/01/2018,17
67,05/01/2018,17
6,13/01/2018,17
67,29/01/2018,17
27,23/01/2018,17
6,07/01/2018,17
76,10/01/2018,17
30,02/02/2018,17
25,14/01/2018,17
30,22/01/2018,17
64,25/01/2018,17
47,06/02/2018,17
6,14/01/2018,17
32,25/12/2017,18
67,25/12/2017,18
76,25/12/2017,18
68,19/01/2018,18
98,14/02/2018,18
25,10/01/2018,18
27,13/01/2018,18
76,20/01/2018,18
40,16/02/2018,18
76,23/01/2018,18
71,14/01/2018,18
27,31/12/2017,18
79,18/01/2018,18
27,10/01/2018,18
6,27/12/2017,18
47,05/02/2018,18
47,25/01/2018,18
3,13/01/2018,18
6,19/01/2018,18
32,29/12/2017,18
47,08/01/2018,18
79,12/01/2018,18
64,14/01/2018,18
79,15/01/2018,18
76,22/01/2018,18
6,04/01/2018,18
98,15/02/2018,18
30,05/02/2018,18
79,23/12/2017,18
32,14/12/2017,19
64,26/12/2017,19
25,30/01/2018,19
32,22/12/2017,19
65,02/01/2018,19
28,19/01/2018,19
6,02/01/2018,19
32,08/12/2017,19
67,21/01/2018,19
76,21/01/2018,19
67,06/01/2018,19
64,22/01/2018,19
79,22/01/2018,19
47,05/01/2018,19
67,11/01/2018,19
3,10/01/2018,19
47,22/01/2018,19
67,26/12/2017,19
79,08/01/2018,19
72,21/01/2018,19
32,13/12/2017,19
40,20/02/2018,19
47,20/01/2018,19
32,26/12/2017,19
3,06/01/2018,19
64,21/12/2017,19
79,21/01/2018,19
3,12/01/2018,19
76,28/12/2017,19
47,27/01/2018,19
68,23/01/2018,19
32,03/12/2017,19
67,03/01/2018,19
65,12/01/2018,19
27,08/01/2018,19
32,22/11/2017,20
68,14/01/2018,20
25,29/01/2018,20
76,15/12/2017,20
72,03/01/2018,20
27,24/12/2017,20
47,13/01/2018,20
71,02/01/2018,20
3,23/12/2017,20
32,09/12/2017,20
98,16/02/2018,20
64,12/01/2018,20
76,03/01/2018,20
68,05/01/2018,20
3,11/01/2018,20
3,07/01/2018,20
68,12/01/2018,20
65,23/12/2017,20
25,03/02/2018,20
72,29/12/2017,20
27,29/12/2017,20
3,03/12/2017,20
3,10/12/2017,20
30,10/02/2018,20
65,05/01/2018,20
71,03/01/2018,20
76,30/12/2017,20
98,05/02/2018,20
27,16/01/2018,20
27,25/12/2017,20
76,23/12/2017,20
76,15/01/2018,20
67,22/01/2018,20
64,15/01/2018,20
47,26/01/2018,20
3,11/12/2017,20
71,10/01/2018,20
6,20/12/2017,20
67,09/01/2018,20
3,26/12/2017,20
68,16/01/2018,21
